Title,k
Pawn,0.7787999595080035
Shocker,0.7777735876888763
Deadfall,0.766957089693518
Ee Adutha Kalathu (ഈ അടുത്ത കാലത്ത്),0.7641803946898793
Australia,0.7594524434880066
Freelance,0.7406696469232146
Tattoo,0.7401487347972082
Naku Penta Naku Taka,0.7393035505879701
Hammett,0.733938479755408
Man-Thing,0.7230989120842449
Un Samayal Arayil,0.7019502988885667
Rab Ton Sohna Ishq,0.6946194761433583
Yaad Rakhegi Duniya,0.6912313870211997
Musafir,0.6912282049954211
Manik,0.6759834449303403
Chammak Challo,0.6740055435279125
MCA (Middle Class Abbayi),0.6722848245886741
Four Christmases,0.6720077189355815
Love Yoou Soniye,0.6717468017329062
The Evil Below,0.6699383461478097
Sachein,0.7162741483344148
Bhalobasa Bhalobasa,0.7035974000590477
Arya 2,0.7020177363816249
Safe Haven,0.7001344959879946
 (500) Days of Summer,0.697921445266777
Nuvve Kavali,0.6968962542766703
Yeh Jawaani Hai Deewani,0.692367362105821
Manasantha Nuvve,0.6899177107837198
Sringara Velan,0.6811644306435969
Saradaga Ammayitho,0.6808022352397345
Kuttram 23,0.9000129462969771
Kuttram 23,0.8856652896597448
I Spit on Your Grave,0.7929115773252853
The Bodyguard,0.7370071493877077
International Khiladi,0.7026613723280078
Bullett Raja,0.6905004017571722
Once Upon Ay Time In Mumbai Dobaara!,0.6851949934104583
The Mermaid,0.6777123095485861
Vizhi Moodi Yosithaal,0.6734070618702401
Kalishankar,0.6711033876574918
Ekk Deewana Tha,0.9411855006571384
Raam,0.7847127008359052
Endrendrum Punnagai,0.7836944899415632
Loukyam,0.7832381295392612
Ye Maaya Chesave,0.7730981151600965
Wanted: Dead or Alive,0.7419981490725789
Thaamirabharani,0.7389402301016967
Raman Thediya Seethai,0.7349885754405905
Poo,0.7296153494516177
Phhir,0.7245371822466057
Thozha,0.9672594439817487
The Heartbreak Kid,0.7081805864975617
The Proposal,0.6626024240153954
The Covenant,0.6508097318564546
Om Shanti Oshana,0.6453837507718624
Salim,0.643155142312814
Arjun Reddy,0.6385965197824848
Shinjuku Incident,0.6277548792673164
"Lock, Stock and Two Smoking Barrels",0.622834045109399
Cocktail,0.6196437150560032
Speechless,0.7700355603472047
International Khiladi,0.7486052343962654
The Mermaid,0.7430976570583647
Ishqiya,0.7419163744662121
Bullett Raja,0.7384796003466852
Tum Mere Ho,0.7360710342009268
Shikar,0.7343450856993916
Naanum Rowdydhaan,0.7341991466681684
Dragon Nest: Warriors' Dawn,0.727240335422413
Singh Is Kinng,0.7232103236089558
Raman Thediya Seethai,0.72705202600556
Mr. Perfect,0.7094949509180417
Diamond Necklace,0.6852704469310191
Fatal Attraction,0.6790574521845435
Manasantha Nuvve,0.6766407006808757
Deception,0.6749543712048378
Thaamirabharani,0.6619619997688971
Ek Duuje Ke Liye,0.6544185813304226
Vicky Cristina Barcelona,0.648316343819544
Love Yoou Soniye,0.6463596234170516
 Zodiac,0.8219075284138664
 Zodiac,0.8197158606938866
Bullett Raja,0.7358815482570386
International Khiladi,0.7294889907269855
Teri Bahon Mein,0.7160926822733079
Diljalaa,0.715755533213564
Predestination,0.7131218626346227
Shadowboxer,0.696955076437578
Desingu Raja,0.6928383249610996
The Mermaid,0.6786881201605718
The Stepfather,0.7309098505190494
Andala Rakshasi,0.7138316395625511
The Silence of the Lambs,0.6976391908934267
Unfaithful,0.697585550173629
Gupt: The Hidden Truth,0.6924126239280606
Singh Is Kinng,0.6881376535798663
Oldboy,0.6781909472927825
Gone Girl,0.6754751943024138
The Discovery,0.672120079868486
Vettaiyaadu Vilaiyaadu,0.6669452272569876
The Fault in Our Stars,0.7181117668162755
Letters to Juliet,0.6986555193420126
Moonlight Mile,0.6701162673139484
Under the Hawthorn Tree,0.6640430966663977
The Lucky One,0.6614737480175881
 The Accidental Husband,0.6589952863726727
Nightcrawler,0.6567220245280261
Waiting for Forever,0.6401619322970855
Enduring Love,0.6393862268656935
The Road Home,0.6380122454479984
Aadu,0.7413225526036862
The Alibi,0.7176491728636557
Deathwatch,0.7110288182699552
The Square,0.7058290947546182
Trespass Against Us,0.6737777738026053
Aran,0.6632259121705855
Chore Chore Mastuto Bhai,0.6594209760728553
Ashoka,0.6563565559131693
Azhagiya Tamil Magan,0.6528452771594979
Cake,0.6473968965480706
The Alibi,0.8099464495316042
Chore Chore Mastuto Bhai,0.746071934135208
Knight Rider 2010,0.7193327190380553
Angel,0.717877340064546
The Square,0.7147845457640467
Eraser,0.7111781470934897
Avengers: Age of Ultron,0.7086169490187852
Trespass Against Us,0.7064427237282812
Lalkaar,0.704299688184982
No One Lives,0.6988110498729972
Abhay,0.821011523489154
Intensity,0.7126457484558175
Jinn,0.6870150775969658
The Forest,0.675665357393447
The Age of Adaline,0.6685903148227454
Once Upon Ay Time In Mumbai Dobaara!,0.6583513490636302
Cinderella,0.6573785833202599
Premium Rush,0.651990650787905
2046,0.643537450501342
 Berlin Syndrome,0.6419704224124934
The Fall,0.6893181542392672
It Could Happen to You,0.6744745722414914
Manorama Six Feet Under,0.6454322984993184
Siva Manasula Sakthi,0.6445089777398842
Deception,0.638170819436082
The Clinic,0.6316462104287497
The Square,0.6254916427556328
Mon Bole Priya Priya,0.607934163297561
Triple 9,0.6049004496943549
Bangkok Dangerous,0.6035332541939653
No Way Out,0.6893509826030831
Christine,0.658085556590573
The River Wild,0.6518584001199011
Yesterday Once More,0.6280187290411146
Land of the Dead,0.6007418224101518
Nee Sneham,0.5925098763448708
Firewall,0.5896554083999125
Deception,0.5892820606718849
The Bachelor,0.5866138235802829
The Lake House,0.5853076043711783
Mausam,0.6416705896985733
Love Story,0.6329952729718209
I Spit on Your Grave 2,0.632894193821906
Parugu,0.6317215735125971
The Covenant,0.6282417516548955
Predestination,0.6274579065320971
The Age of Adaline,0.626534235774706
Deception,0.6239591303402403
Overheard 2,0.6225297569024844
Vicky Cristina Barcelona,0.6162026022140525
Predestination,0.724442179996551
Painted Skin: The Resurrection,0.7216791111336271
Harry Potter and the Philosopher's Stone,0.6994000789810573
Thralls,0.6567220664800044
Clash of the Titans,0.6544584827225242
Excalibur,0.6496182719966442
The Discovery,0.646104378682846
Jaani Dushman: Ek Anokhi Kahani,0.6452945810231254
"Host, TheThe Host",0.6374202911991722
The Adventures of Pinocchio,0.6342167034153274
Maya,0.9541564458632197
 2:22,0.7597409336933729
Cutting Class,0.7331675636828194
A Nightmare on Elm Street 5: The Dream Child,0.7066347586010686
Spiders 3D,0.6650974276655568
A Nightmare on Elm Street,0.6468880938846946
The Age of Adaline,0.6458742847713761
A Nightmare on Elm Street 4: The Dream Master,0.638121376348278
Half Light,0.6370555834972993
Premonition,0.6357291992954738
The Beast,0.6968298141680731
The House on Sorority Row,0.6803568664471571
The Park,0.6775438105387748
Severed: Forest of the Dead,0.6762615663535203
Katari Veera Surasundarangi (3D),0.6676412619512014
Stay Alive,0.6639494312194136
Thirteen Ghosts,0.6605616945644244
The First Power,0.6601280022372089
Final Destination 2,0.6599011422175693
Carnosaur 2,0.6536499231922042
The Trial,0.7283544536759567
The Dead End,0.7155271016469883
Banking Hours 10 to 4,0.7022690913402404
Young Detective Dee: Rise of the Sea Dragon,0.7013038701553853
Rangoon,0.6962082781270954
Heroic Duo,0.661696412182011
Willow,0.6543252701041612
Nanbanin Kadhali,0.6375002190970561
Runaway Blues,0.6321983914733316
Drohi,0.631702486998818
American Me,0.7140551825114958
Taqdeer Ka Tamasha,0.6943715094423719
Jagat,0.6938522445052053
Khoon Ka Karz,0.6904666679385636
The Preppie Murder,0.6860836505386394
First Time Felon,0.6846705800817124
The General,0.6751056725433587
Palais Royale,0.6744670203259729
7 Times Lucky,0.6742853349952628
Kalaya Tasmai Namaha,0.6742826597300874
Robot,0.8894520524187723
X-Men: Apocalypse,0.6984775620779814
Vai Raja Vai,0.6749917835428899
The Circle,0.6626672254343566
Under Siege 2: Dark Territory,0.6599347259404067
The Dragon Dentist,0.6542427523829688
Battleship,0.6517133072620366
Naanum Rowdydhaan,0.6469705071011624
A Walk to Remember,0.646570241837609
Kingsglaive: Final Fantasy XV,0.6442823982077664
What Lies Beneath,0.8213246386164834
Bullett Raja,0.7676026328253555
The Discovery,0.7452736297506917
Arlington Road,0.7370196774827048
Copycat,0.7348376302647139
The Mermaid,0.7319416149241392
Once Upon Ay Time In Mumbai Dobaara!,0.7305030201417569
88,0.724779417976792
"Host, TheThe Host",0.7243104515404107
International Khiladi,0.7238820587583172
